ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	ALIGNMENT	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES
2431	Tebul_Ure	NEW	kàndá	k a ¹ n d a ⁵	2219	k a ¹ n d a ⁵	1 7 8 4 1 7 8	AXTMBYT	KA6NTA6	16	16.K.C 16.A.V 16.6.T 16.N.c 16.T.C 16.A.V 16.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
2432	Togo_Kan	NEW	kàná	k a ¹ n a ⁵	2219	k a ¹ n a ⁵	1 7 8 4 7 8	AXTBYT	KA6NA6	18	18.K.C 18.A.V 18.6.T 18.N.C 18.A.V 18.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2433	Tomo_Kan	NEW	kàndà	k a ¹ n d a ¹	2219	k a ¹ n d a ¹	1 7 8 4 1 7 8	AXTMBYT	KA6NTA6	20	20.K.C 20.A.V 20.6.T 20.N.c 20.T.C 20.A.V 20.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
2434	Yorno_So	NEW	kàná	k a ¹ n a ⁵	2219	k a ¹ n a ⁵	1 7 8 4 7 8	AXTBYT	KA6NA6	23	23.K.C 23.A.V 23.6.T 23.N.C 23.A.V 23.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2435	Bankan_Tey	NIGHT	ɲân	ɲ a ⁵¹ n	5022	ɲ a ⁵¹ ?- n ?- ?-	4 7 8 4	AXTN	NA3N	2	2.N.C 2.A.V 2.3.T 2.N.c	1.6 3.0 1.0 0.5	0
2436	Ben_Tey	NIGHT	ɲárⁿù	ɲ a ⁵ r̃ ∼ u ¹	5022	ɲ a ⁵ r̃ ∼ u ¹	4 7 8 5 4 7 8	AXTMBYT	NA6R9Y6	3	3.N.C 3.A.V 3.6.T 3.R.c 3.9.C 3.Y.V 3.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
2437	Dogul_Dom	NIGHT	yá:gà	j aː ⁵ ɡ a ¹	5003	j ( - ) aː ⁵ ɡ a ¹	6 7 8 1 7 8	AXTBYT	JA6KA6	5	5.J.C 5.A.V 5.6.T 5.K.C 5.A.V 5.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2438	Gourou	NIGHT	dà:ɣá	d aː ¹ ɣ a ⁵	149	d aː ¹ ɣ a ⁵	1 7 8 3 7 8	AXTBYT	TA6GA6	7	7.T.C 7.A.V 7.6.T 7.G.C 7.A.V 7.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2439	Najamba	NIGHT	ɲám	ɲ a ⁵ m	5022	ɲ a ⁵ ?- m ?- ?-	4 7 8 4	AXTN	NA6M	11	11.N.C 11.A.V 11.6.T 11.M.c	1.6 3.0 1.0 0.5	0
2440	Nanga	NIGHT	dɛ̀:ndɛ̂	d ɛː ¹ n d ɛ ¹⁵	148	d ɛː ¹ n d ɛ ¹⁵	1 7 8 4 1 7 8	AXTMBYT	TE6NTE2	12	12.T.C 12.E.V 12.6.T 12.N.c 12.T.C 12.E.V 12.2.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
2441	Tebul_Ure	NIGHT	dɛ̀ndɛ́	d ɛ ¹ n d ɛ ⁵	148	d ɛ ¹ n d ɛ ⁵	1 7 8 4 1 7 8	AXTMBYT	TE6NTE6	16	16.T.C 16.E.V 16.6.T 16.N.c 16.T.C 16.E.V 16.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
2442	Togo_Kan	NIGHT	dà:gá	d aː ¹ ɡ a ⁵	149	d aː ¹ ɡ a ⁵	1 7 8 1 7 8	AXTBYT	TA6KA6	18	18.T.C 18.A.V 18.6.T 18.K.C 18.A.V 18.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2443	Tommo_So	NIGHT	yáŋá	j a ⁵ ŋ a ⁵	5003	j ( - ) a ⁵ ŋ a ⁵	6 7 8 4 7 8	AXTBYT	JA6NA6	19	19.J.C 19.A.V 19.6.T 19.N.C 19.A.V 19.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2444	Toro_Tegu	NIGHT	yⁿà:ŋá	j ∼ aː ¹ ŋ a ⁵	5003	j ( ∼ ) aː ¹ ŋ a ⁵	6 4 7 8 4 7 8	ACYTBYT	J9A6NA6	21	21.J.C 21.9.C 21.A.V 21.6.T 21.N.C 21.A.V 21.6.T	1.6 1.2 3.0 1.0 1.3 3.0 1.0	0
2445	Yanda_Dom	NIGHT	dèndà:	d e ¹ n d aː ¹	148	d e ¹ n d aː ¹	1 7 8 4 1 7 8	AXTMBYT	TE6NTA6	22	22.T.C 22.E.V 22.6.T 22.N.c 22.T.C 22.A.V 22.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
2446	Yorno_So	NIGHT	dìgɛ́	d i ¹ ɡ ɛ ⁵	147	d i ¹ ɡ ɛ ⁵	1 7 8 1 7 8	AXTBYT	TI6KE6	23	23.T.C 23.I.V 23.6.T 23.K.C 23.E.V 23.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2447	Donno_So	NIGHT	yáŋà	j a ⁵ ŋ a ¹	5003	j ( - ) a ⁵ ŋ a ¹	6 7 8 4 7 8	AXTBYT	JA6NA6	6	6.J.C 6.A.V 6.6.T 6.N.C 6.A.V 6.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2448	Mombo	NIGHT	dó:	d oː ⁵	149	d oː ⁵ ?- ?- ?-	1 7 8	AXT	TU6	10	10.T.C 10.U.V 10.6.T	1.6 3.0 1.0	0
2449	Penange	NIGHT	dógó	d o ⁵ ɡ o ⁵	149	d o ⁵ ɡ o ⁵	1 7 8 1 7 8	AXTBYT	TU6KU6	13	13.T.C 13.U.V 13.6.T 13.K.C 13.U.V 13.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
