ID	DOCULECT	CONCEPT	TOKENS	MORPHEMES
24	Bondu_So	FOOT OR LEG	n aː ¹ + ɡ o ⁵	foot ɡo-class-bodyparts
25	Tiranige_Diga	HEAD	k o ⁵ + ɡ o ⁵	head ɡo-class-bodyparts
26	Tebul_Ure	NAME	b o ⁵ n + ɡ o ⁵	name ɡo-class-bodyparts
27	Tebul_Ure	SUN	u ¹ d u ¹ + ɡ o ⁵	sun ɡo-class-round
28	Toro_Tegu	HORSE	s o ¹ ŋ + ɡ u ⁵	horse ɡu-class-animate
29	Tebul_Ure	SKIN	ɡ u ¹ d u ¹ + ɡ o ⁵	skin ɡu-class-bodyparts
30	Perge_Tegu	MOUSE	o ¹⁵ + j	mouse j-class-animate
31	Yorno_So	EYE	ɡ i ¹ r i ¹ + j ⁵	eye j-class-bodyparts
32	Bankan_Tey	FOREHEAD	d i ¹ m b e ⁵¹ + j	forehead j-class-bodyparts
33	Bankan_Tey	JOINT	d iː ⁵ r a ⁵ + j	joint j-class-bodyparts
34	Bankan_Tey	LEFT	b a ¹ n d a ¹⁵ + j	left j-class-bodyparts
35	Ben_Tey	LEFT	b a ¹ n a ¹⁵ + j ∼	left j-class-bodyparts
36	Ben_Tey	DISEASE	ɔː ¹ r ɔ ¹⁵ + j	disease j-class-building
37	Bankan_Tey	PESTLE	t a ¹ n d a ⁵¹ + j	pound j-class-long
38	Ben_Tey	PESTLE	t a ¹ l a ⁵¹ + j	pound j-class-long
39	Bankan_Tey	BONE	k i ¹ r̃ e ¹⁵ + j	bone j-class-long
40	Bankan_Tey	CHEEK	k e ¹ n d e ⁵¹ + j	cheek j-class-round
41	Bankan_Tey	CHIN	ɔ ¹ m b ɔ ⁵¹ + j	chin j-class-round
42	Ben_Tey	CHIN	o ¹ m b o ⁵¹+ j	chin j-class-round
43	Bankan_Tey	FOOD	ŋ ¹ ɡ uː ⁵ e ¹ + j	eat j-class-round
44	Nanga	CAT	d o ¹ n d i ⁵ + j e ⁵¹	cat je-class-animate
45	Tiranige_Diga	WOMAN	n d a ¹ + j eː ⁵	woman je-class-animate
46	Yanda_Dom	EYE	ɡ i ¹ d + i ⁵ + j e ¹	eye je-class-bodyparts
47	Mombo	SHOE	t a ⁵ ɡ + j eː ⁵¹	shoe je-class-animate
48	Penange	CHEEK	k e ⁵ ɡ e ⁵ l + j e ¹	cheek je-class-round
49	Ben_Tey	BONE	tʃ i ¹ r̃ ɛ ¹⁵ + j ∼	bone jn-class-round
50	Mombo	HIP	p e ⁵ ŋ ɡ e ⁵ + l i ⁵	hip li-class-bodyparts
51	Bankan_Tey	!GUEST OR STRANGER	nd o ¹ s u ⁵ + m	lodger m-class-animate
52	Ben_Tey	!GUEST OR STRANGER	l oː ¹ s u ⁵ + m	lodger m-class-animate
53	Bankan_Tey	BIRD	n iː ¹⁵ + m	bird m-class-animate
54	Ben_Tey	BIRD	n iː ¹ j ∼ i ⁵¹ + m	bird m-class-animate
55	Bankan_Tey	BITTER	ɡ a ¹ r u ¹⁵ + m	bitter m-class-animate
56	Ben_Tey	BITTER	ɡ a ⁵ r i ¹ + m	bitter m-class-animate
57	Dogul_Dom	BITTER	ɡ a ⁵ l l a ¹ + ŋ ¹	bitter m-class-animate
58	Bankan_Tey	BLACKSMITH	z ɛ ⁵ m b ɛ ¹ + m	blacksmith m-class-animate
59	Ben_Tey	BLACKSMITH	dʒ ɛ ⁵ m b ɛ ¹⁵ + m	blacksmith m-class-animate
60	Bankan_Tey	CAMEL	ɔː ¹ + ɲ ɛ̃ ⁵¹ + m	camel m-class-animate
61	Ben_Tey	CAMEL	ɔː ¹ + ɲ u ¹ + w̃ ɔ ⁵¹ + m	camel m-class-animate
62	Bankan_Tey	CAT	n u ¹ m a ¹⁵ + m	cat m-class-animate
63	Ben_Tey	CAT	n i ¹ w̃ ɛ ¹⁵ + m	cat m-class-animate
64	Bankan_Tey	CHICKEN	ɛ ¹ z ɛ ¹⁵ + m	chicken m-class-animate
65	Ben_Tey	CHICKEN	ɛ ¹ n dʒ ɛ ¹⁵ + m	chicken m-class-animate
66	Bankan_Tey	CHILD	j i ⁵ + m	child m-class-animate
67	Ben_Tey	CHILD	j i ⁵ + m	child m-class-animate
68	Bankan_Tey	COW	n aː ¹⁵ + m	cow m-class-animate
69	Ben_Tey	COW	n aː ¹⁵ + m	cow m-class-animate
70	Bankan_Tey	DOG	n ¹ dʒ e ¹ + r u ⁵¹ + m	dog m-class-animate
71	Ben_Tey	DOG	i ¹ n dʒ ɛ ¹⁵ + m	dog m-class-animate
72	Bankan_Tey	DONKEY	d u ⁵ r u ¹ + m	donkey m-class-animate
73	Ben_Tey	DONKEY	s u ⁵ r u ⁵ + b ɔ ¹ ŋ ɡ ɔ ⁵¹ + m	donkey m-class-animate
74	Bankan_Tey	DOVE	t u ¹ r u ¹ s u ⁵¹ + m	dove m-class-animate
75	Ben_Tey	DOVE	ɡ ɔ̃ː ∼ + m	dove m-class-animate
76	Toro_Tegu	DOVE	t u ¹ s u ⁵¹ + m	dove m-class-animate
77	Bankan_Tey	FISH	i ⁵ s i ¹ + m	fish m-class-animate
78	Ben_Tey	FISH	i ⁵ s i ¹ + m	fish m-class-animate
79	Bankan_Tey	FLY (INSECT)	dʒ e ¹ dʒ e ⁵¹ ∼ + m	fly m-class-animate
80	Ben_Tey	FLY (INSECT)	ɡ i ¹ ɡ ɛ̃ː + m	fly m-class-animate
81	Bankan_Tey	FRIEND	s i ¹ j ∼ ɛ ¹⁵ + m	friend m-class-animate
82	Ben_Tey	FRIEND	t i ¹ j a ¹⁵ + m	friend m-class-animate
